=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        404.4800 │             2.7350 │        34.2150 │       2.8000 ║
║        403.5600 │             2.7340 │        34.2150 │       2.8000 ║
║        402.4800 │             2.7330 │        34.2160 │       2.8180 ║
║        401.4000 │             2.7320 │        34.2150 │       2.7410 ║
║        400.4800 │             2.7320 │        34.2150 │       2.8140 ║
║        399.5600 │             2.7310 │        34.2150 │       2.7710 ║
║        398.5200 │             2.7290 │        34.2150 │       2.8620 ║
║        397.4000 │             2.7270 │        34.2140 │       2.8000 ║
║        396.5200 │             2.7250 │        34.2140 │       2.7850 ║
║        395.5600 │             2.7250 │        34.2150 │       2.8140 ║
║        394.5200 │             2.7250 │        34.2150 │       2.7960 ║
║        393.4000 │             2.7240 │        34.2150 │       2.8140 ║
